assignment_id,user_id,assistment_id,problem_id,original,correct,attempt_count,ms_first_response,tutor_mode,answer_type,sequence_id,student_class_id,base_sequence_id,skill_id,teacher_id,school_id,hint_count,hint_total,overlap_time,template_id,first_action,bottom_hint,opportunity,opportunity_original
220674,70730,33178,51463,1,0,2,154880,2,1,5948,11816,5948,1,22763,73,0,4,296134,30060,0,2,1,2
220674,70730,33162,51447,1,0,4,53687,2,1,5948,11816,5948,1,22763,73,0,3,124624,30799,0,2,2,388
220674,70730,33184,51469,1,1,1,34671,2,1,5948,11816,5948,1,22763,73,0,4,34671,30060,0,2,3,499
220674,70730,33148,51433,1,1,1,4781,2,1,5948,11816,5948,1,22763,73,0,3,4781,30799,0,2,4,579
220674,70730,33146,51431,1,1,1,9000,2,1,5948,11816,5948,1,22763,73,0,3,9000,30799,0,2,5,653
277618,70733,33175,51460,1,0,2,9575,2,1,5948,13241,5948,1,22763,73,0,4,12007,30060,0,2,1,2
277618,70733,33182,51467,1,1,1,6422,2,1,5948,13241,5948,1,22763,73,0,4,6422,30060,0,2,2,388
277618,70733,33107,51392,1,0,3,11365,2,1,5948,13241,5948,1,22763,73,0,3,31638,30059,0,2,3,499
277618,70733,33187,51472,1,1,1,4412,2,1,5948,13241,5948,1,22763,73,0,4,4412,30060,0,2,4,579
277618,70733,33111,51396,1,1,1,6902,2,1,5948,13241,5948,1,22763,73,0,3,6902,30059,0,2,5,653
220674,70736,33143,51428,1,0,2,60953,2,1,5948,11816,5948,1,22763,73,0,3,77489,30799,0,2,1,2
220674,70736,33192,51477,1,0,3,98752,2,1,5948,11816,5948,1,22763,73,3,4,740423,30060,0,0,2,388
220674,70736,33114,51399,1,1,1,17944,2,1,5948,11816,5948,1,22763,73,0,3,17944,30059,0,2,3,499
220674,70736,33146,51431,1,1,1,6350,2,1,5948,11816,5948,1,22763,73,0,3,6350,30799,0,2,4,579
220674,70736,33122,51407,1,1,1,5283,2,1,5948,11816,5948,1,22763,73,0,3,5283,30059,0,2,5,653
277618,70736,33124,51409,1,1,1,9649,2,1,5948,13241,5948,1,22763,73,0,3,9649,30059,0,2,6,695
277618,70736,33158,51443,1,1,1,4619,2,1,5948,13241,5948,1,22763,73,0,3,4619,30799,0,2,7,722
277618,70746,33157,51442,1,1,1,4453,2,1,5948,13241,5948,1,22763,73,0,3,4453,30799,0,2,1,2
277618,70746,33116,51401,1,1,1,3937,2,1,5948,13241,5948,1,22763,73,0,3,3937,30059,0,2,2,388
277618,70756,33131,51416,1,1,1,7112,2,1,5948,13241,5948,1,22763,73,0,3,7112,30059,0,2,1,2
277618,70756,33164,51449,1,1,1,6971,2,1,5948,13241,5948,1,22763,73,0,3,6971,30799,0,2,2,388
277618,70759,33127,51412,1,1,1,14555,2,1,5948,13241,5948,1,22763,73,0,3,14555,30059,0,2,1,2
277618,70759,33170,51455,1,1,1,25132,2,1,5948,13241,5948,1,22763,73,0,4,25132,30060,0,2,2,388
277453,70872,33136,51421,1,1,1,7281,2,1,5948,11816,5948,1,22763,73,0,3,7281,30059,0,2,1,2
277453,70872,33144,51429,1,1,1,7234,2,1,5948,11816,5948,1,22763,73,0,3,7234,30799,0,2,2,388
277618,70874,33141,51426,1,0,3,155280,2,1,5948,13241,5948,1,22763,73,2,3,173356,30799,0,0,1,2
277618,70874,33185,51470,1,1,1,22576,2,1,5948,13241,5948,1,22763,73,0,4,22576,30060,0,2,2,388
277618,70874,33135,51420,1,1,1,38121,2,1,5948,13241,5948,1,22763,73,0,3,38121,30059,0,2,3,499
277618,70874,33123,51408,1,1,1,4655,2,1,5948,13241,5948,1,22763,73,0,3,4655,30059,0,2,4,579
282727,71175,33141,51426,1,0,3,49890,2,1,5948,12473,5948,1,24116,76,0,3,98873,30799,0,2,1,2
282727,71175,33151,51436,1,1,1,43593,2,1,5948,12473,5948,1,24116,76,0,3,43593,30799,0,2,2,388
282727,71175,33135,51420,1,1,1,6734,2,1,5948,12473,5948,1,24116,76,0,3,6734,30059,0,2,3,499
282727,71175,33114,51399,1,1,1,35577,2,1,5948,12473,5948,1,24116,76,0,3,35577,30059,0,2,4,579
282727,71176,33168,51453,1,1,1,120255,2,1,5948,12473,5948,1,24116,76,0,4,120255,30060,0,2,1,2
282727,71176,33110,51395,1,0,3,13750,2,1,5948,12473,5948,1,24116,76,1,3,80863,30059,0,0,2,388
282727,71176,33179,51464,1,0,2,21470,2,1,5948,12473,5948,1,24116,76,0,4,35252,30060,0,2,3,499
282727,71176,33129,51414,1,1,1,7625,2,1,5948,12473,5948,1,24116,76,0,3,7625,30059,0,2,4,579
282727,71176,33111,51396,1,0,2,6141,2,1,5948,12473,5948,1,24116,76,0,3,13938,30059,0,2,5,653
282727,71177,33137,51422,1,1,1,146813,2,1,5948,12473,5948,1,24116,76,0,3,146813,30799,0,2,1,2
282727,71177,33169,51454,1,1,1,16641,2,1,5948,12473,5948,1,24116,76,0,4,16641,30060,0,2,2,388
282727,71179,33112,51397,1,1,1,6641,2,1,5948,12473,5948,1,24116,76,0,2,6641,30059,0,2,1,2
282727,71179,33136,51421,1,1,1,6751,2,1,5948,12473,5948,1,24116,76,0,3,6751,30059,0,2,2,388
282727,71183,33110,51395,1,1,1,20191,2,1,5948,12473,5948,1,24116,76,0,3,20191,30059,0,2,1,2
282727,71183,33116,51401,1,1,1,5453,2,1,5948,12473,5948,1,24116,76,0,3,5453,30059,0,2,2,388
282727,71187,33109,51394,1,1,1,191269,2,1,5948,12473,5948,1,24116,76,0,3,191269,30059,0,2,1,2
282727,71187,33144,51429,1,1,1,70813,2,1,5948,12473,5948,1,24116,76,0,3,70813,30799,0,2,2,388
282727,71190,33139,51424,1,1,1,13250,2,1,5948,12473,5948,1,24116,76,0,3,13250,30799,0,2,1,2
282727,71190,33143,51428,1,1,1,56532,2,1,5948,12473,5948,1,24116,76,0,3,56532,30799,0,2,2,388
282727,71193,33115,51400,1,1,1,53247,2,1,5948,12473,5948,1,24116,76,0,3,53247,30059,0,2,1,2
282727,71193,33120,51405,1,1,1,9257,2,1,5948,12473,5948,1,24116,76,0,3,9257,30059,0,2,2,388
282727,71205,33137,51422,1,1,1,15895,2,1,5948,12473,5948,1,24116,76,0,3,15895,30799,0,2,1,2
282727,71205,33157,51442,1,1,1,5949,2,1,5948,12473,5948,1,24116,76,0,3,5949,30799,0,2,2,388
282727,71209,33142,51427,1,1,1,19781,2,1,5948,12473,5948,1,24116,76,0,3,19781,30799,0,2,1,2
282727,71209,33128,51413,1,1,1,9656,2,1,5948,12473,5948,1,24116,76,0,3,9656,30059,0,2,2,388
282727,71211,33168,51453,1,1,1,50047,2,1,5948,12473,5948,1,24116,76,0,4,50047,30060,0,2,1,2
282727,71211,33165,51450,1,1,1,35063,2,1,5948,12473,5948,1,24116,76,0,3,35063,30799,0,2,2,388
282727,71212,33148,51433,1,1,1,111939,2,1,5948,12473,5948,1,24116,76,0,3,111939,30799,0,2,1,2
282727,71212,33143,51428,1,1,1,5704,2,1,5948,12473,5948,1,24116,76,0,3,5704,30799,0,2,2,388
282727,71221,33128,51413,1,1,1,10393,2,1,5948,12473,5948,1,24116,76,0,3,10393,30059,0,2,1,2
282727,71221,33149,51434,1,1,1,4727,2,1,5948,12473,5948,1,24116,76,0,3,4727,30799,0,2,2,388
282727,71224,33181,51466,1,1,1,12203,2,1,5948,12473,5948,1,24116,76,0,4,12203,30060,0,2,1,2
282727,71224,33186,51471,1,1,1,8219,2,1,5948,12473,5948,1,24116,76,0,4,8219,30060,0,2,2,388
282727,71225,33172,51457,1,1,1,19331,2,1,5948,12473,5948,1,24116,76,0,4,19331,30060,0,2,1,2
282727,71225,33155,51440,1,0,1,15613,2,1,5948,12473,5948,1,24116,76,3,3,25568,30799,1,1,2,388
282727,71225,33185,51470,1,1,1,17254,2,1,5948,12473,5948,1,24116,76,0,4,17254,30060,0,2,3,499
282727,71225,33135,51420,1,1,1,29412,2,1,5948,12473,5948,1,24116,76,0,3,29412,30059,0,2,4,579
282727,71225,33178,51463,1,0,2,20192,2,1,5948,12473,5948,1,24116,76,4,4,32083,30060,0,1,5,653
282727,71227,33145,51430,1,0,2,105392,2,1,5948,12473,5948,1,24116,76,1,3,141720,30799,0,0,1,2
282727,71227,33187,51472,1,1,1,51813,2,1,5948,12473,5948,1,24116,76,0,4,51813,30060,0,2,2,388
282727,71227,33179,51464,1,1,1,15938,2,1,5948,12473,5948,1,24116,76,0,4,15938,30060,0,2,3,499
282727,71227,33183,51468,1,1,1,20704,2,1,5948,12473,5948,1,24116,76,0,4,20704,30060,0,2,4,579
282727,71230,33124,51409,1,1,1,14953,2,1,5948,12473,5948,1,24116,76,0,3,14953,30059,0,2,1,2
282727,71230,33150,51435,1,0,3,8406,2,1,5948,12473,5948,1,24116,76,3,3,33593,30799,0,1,2,388
282727,71230,33141,51426,1,0,3,9484,2,1,5948,12473,5948,1,24116,76,0,3,14171,30799,0,2,3,499
282727,71230,33153,51438,1,1,1,20812,2,1,5948,12473,5948,1,24116,76,0,3,20812,30799,0,2,4,579
282727,71230,33162,51447,1,1,1,3313,2,1,5948,12473,5948,1,24116,76,0,3,3313,30799,0,2,5,653
282727,71230,33115,51400,1,1,1,13750,2,1,5948,12473,5948,1,24116,76,0,3,13750,30059,0,2,6,695
